DATIM_Indicator_Category,facility,ward,subcounty,county,Datim_Facility_UID,DATIM_Disag_ID,DATIM_Disag_Name,datim_data
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5, ,15+ | Female,7
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,XX7hDj6iz0D,15+ | Male,2
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,Yf1BiWq71NE,15+ | Female,23
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,chrwpNxHlQQ,<15 | Female,8
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,zHSL7ATXJib,<15 | Male,9
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,XX7hDj6iz0D,15+ | Male,5
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,XX7hDj6iz0D,15+ | Male,150
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5, ,<15 | Unknown Sex,15
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,Yf1BiWq71NE,15+ | Female,372
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,Yf1BiWq71NE,15+ | Female,6
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,XX7hDj6iz0D,15+ | Male,4
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,Yf1BiWq71NE,15+ | Female,38
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,chrwpNxHlQQ,<15 | Female,7
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,zHSL7ATXJib,<15 | Male,3
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,XX7hDj6iz0D,15+ | Male,1
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,XX7hDj6iz0D,15+ | Male,371
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,uURluLqPIJ5,<15 | Unknown Sex,12
TX_CURR,Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,Yf1BiWq71NE,15+ | Female,892
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,Yf1BiWq71NE,15+ | Female,46
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,XX7hDj6iz0D,15+ | Male,42
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,Yf1BiWq71NE,15+ | Female,48
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,chrwpNxHlQQ,<15 | Female,25
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,zHSL7ATXJib,<15 | Male,25
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,XX7hDj6iz0D,15+ | Male,46
